mpp_er,PSZ2,MCXC,ACT,eROSITA,precision_eROSITA,found_eROSITA,PSZ2(z),precision_PSZ2(z),found_PSZ2(z),all_true,found,precision,all
0.0,0.9797687861271677,0.4722222222222222,0.3016970458830924,0.14208969935929028,0.21720019903798307,2619,0.9941291585127201,0.04204677392602422,507,0.38656774697383833,2823,0.23411842759993365,12058
0.05,0.9797687861271677,0.4722222222222222,0.3016970458830924,0.14208969935929028,0.21720019903798307,2619,0.9941291585127201,0.04204677392602422,507,0.38656774697383833,2823,0.23411842759993365,12058
0.1,0.9797687861271677,0.4722222222222222,0.3016970458830924,0.14208969935929028,0.21720019903798307,2619,0.9941291585127201,0.04204677392602422,507,0.38656774697383833,2823,0.23411842759993365,12058
0.15,0.9797687861271677,0.4722222222222222,0.3016970458830924,0.14208969935929028,0.21720019903798307,2619,0.9941291585127201,0.04204677392602422,507,0.38656774697383833,2823,0.23411842759993365,12058
0.2,0.9797687861271677,0.4722222222222222,0.3016970458830924,0.14208969935929028,0.21720019903798307,2619,0.9941291585127201,0.04204677392602422,507,0.38656774697383833,2823,0.23411842759993365,12058
0.25,0.9797687861271677,0.4722222222222222,0.3016970458830924,0.14208969935929028,0.21720019903798307,2619,0.9941291585127201,0.04204677392602422,507,0.38656774697383833,2823,0.23411842759993365,12058
0.3,0.9783236994219653,0.4488888888888889,0.26712759270898806,0.12020699852143914,0.2540159482260488,2198,0.9941291585127201,0.05859239570091298,507,0.35923467395548614,2382,0.2752802496244077,8653
0.35,0.9682080924855492,0.43222222222222223,0.24638592080452545,0.10256283883686546,0.2950063613231552,1855,0.9941291585127201,0.08062977099236641,507,0.3408824677860211,2021,0.3214058524173028,6288
0.4,0.9523121387283237,0.4166666666666667,0.22878692646134507,0.08999507146377526,0.33750260579528873,1619,0.9882583170254403,0.1050656660412758,504,0.32448262397500977,1768,0.3685636856368564,4797
0.45,0.9393063583815029,0.4011111111111111,0.21118793211816467,0.08013799901429275,0.382831245001333,1436,0.9804305283757339,0.13329778725673153,500,0.3076923076923077,1569,0.41828845641162354,3751
0.5,0.9205202312138728,0.3877777777777778,0.1923318667504714,0.07156234598324297,0.42924847664184157,1268,0.974559686888454,0.16824644549763032,497,0.2905115189379149,1378,0.4664861205145565,2954
0.55,0.9089595375722543,0.37444444444444447,0.17976115650534255,0.06476096599310005,0.47454090150250416,1137,0.9726027397260274,0.20701168614357263,496,0.2787973447871925,1239,0.5171118530884808,2396
0.6,0.880057803468208,0.35888888888888887,0.16404776869893148,0.05726959093149335,0.5314981471678136,1004,0.9530332681017613,0.25727898358920065,486,0.2616165560327997,1096,0.5802011646373743,1889
0.65,0.8511560693641619,0.34444444444444444,0.15210559396605908,0.05051749630359783,0.5757377049180328,878,0.9275929549902152,0.3101639344262295,473,0.2456071846934791,961,0.6301639344262295,1525
0.7,0.8092485549132948,0.33,0.1376492771841609,0.04489896500739281,0.6308943089430894,776,0.8923679060665362,0.3699186991869919,455,0.2276454509957048,843,0.6853658536585366,1230
0.8,0.7066473988439307,0.29555555555555557,0.11062225015713388,0.0334647609659931,0.7912087912087912,576,0.8277886497064579,0.5796703296703297,422,0.19211245607184693,613,0.842032967032967,728
0.9,0.5751445086705202,0.25,0.08170961659333752,0.024691966485953672,0.8989247311827957,418,0.7064579256360078,0.7763440860215054,361,0.15267473643108162,437,0.9397849462365592,465
0.95,0.41763005780346824,0.19666666666666666,0.06033940917661848,0.017299162148841793,0.9602649006622517,290,0.5342465753424658,0.9039735099337748,273,0.11089418196017181,296,0.9801324503311258,302
